GENESYMBOL	TNFa	JAK-STAT	PI3K_only	Wnt	VEGF	MAPK_only	TGFB	IL-1	MAPK_PI3K	TLR	H2O2	CellCycle	
RPS11	0	0	18.210205	0	0	0	0	0	11.29927	0	0	0	
RPS2	0	0	0	0	0	12.8464	0	0	11.386723	0	0	0	
RPS6	0	0	0	0	0	2.3629897	0	0	0	0	0	0	
RPS6KB1	0	0	0	0	0	6.2723713	0	0	0	0	0	0	
RRAD	-1.9772054	0	0	0	0	0	0	0	0	0	0	0	
RRM2	0	0	0	28.444733	0	1.1263554	0	0	0	0	0	0	
RSAD2	0	-2.033506	0	0	0	0	0	0	0	0	0	0	
RUNX1T1	8.396632	0	0	0	0	0	0	0	0	0	0	0	
RUNX3	0	0	0	0	0	0	-2.6610897	0	0	-1.551565	0	0	
RXRA	0	0	0	0	0	-2.0687296	0	0	0	0	0	0	
S100A16	0	0	0	0	0	15.926588	0	0	0	0	0	0	
S100A6	0	0	0	0	0	1.2420245	0	0	0	0	0	0	
S100P	0	0	0	0	0	-3.3190281	0	0	0	0	0	0	
SAMD10	0	0	0	0	0	-3.2339332	0	0	0	0	0	0	
SAMD4A	1.4508125	0	0	0	0	0	0	0	0	0	0	0	
SAV1	0	0	0	0	0	0	0	0	0	-0.38669562	0	0	
SBNO2	0	-1.2932818	0	0	0	0	0	0	0	0	0	0	
SCAMP1	0	0	0	0	0	0	0	0	0	0	13.7934065	0	
SCD	0	0	0	0	0	0	12.450562	0	0	0	0	0	
SDC4	21.048506	0	0	0	0	0	0	21.896652	0	19.802025	0	0	
SEC23B	0	0	0	0	0	2.3151565	0	0	0	0	0	0	
SEC62	0	0	0	0	0	8.537935	0	0	0	0	0	0	
SECTM1	0	-2.535647	0	0	0	0	0	0	0	0	0	0	
SEMA3C	0	0	0	0	0	8.699662	0	0	0	0	0	0	
SERPINA1	0	0	0	0	0	-3.062674	0	0	0	0	0	0	
SERPINB8	3.109439	0	0	0	0	0	0	0	0	0	0	0	
SERPINB9	0	0	0	0	0	0	0	0	0	0	-2.4608114	0	
SERPING1	0	4.617411	0	0	0	0	0	0	0	0	0	0	
SERTAD1	0	0	0	0	0	0	0	0	0	0	0	0.20591848	
SERTAD2	-5.1738496	0	0	0	0	0	0	-5.174577	0	0	0	0	
SETD5	0	0	0	0	0	9.524239	0	0	0	0	0	0	
SFRP1	0	0	0	0	0	-2.8158035	0	0	0	0	0	0	
SGCG	0	0	0	0	0	-2.3725228	0	0	0	0	0	0	
SGK1	0	19.888456	0	0	0	0	0	0	0	0	0	0	
SGPP1	0	0	0	0	0	-1.5579077	0	0	0	0	0	0	
SGPP2	0	0	0	0	0	0	0	0	0	-1.4116406	0	0	
SGTA	0	0	0	0	0	-0.81401974	0	0	0	0	0	0	
SH3BGRL	0	0	0	0	0	18.331074	0	0	0	0	0	0	
SIAH2	0	0	0	0	0	0	0	0	0	-0.72007984	0	0	
SIK1	0	0	0	0	-1.4247855	0	3.9222097	0	-0.56762546	0	0	0	
SIK2	0	0	0	0	0	-1.4534689	0	0	0	0	0	0	
SIN3B	0	0	0	0	0	0	0	0	0	0	0	1.0727149	
SIRPA	2.8900058	0	0	0	0	0	0	0	0	0	0	0	
SLA	0	-2.0982764	0	0	0	0	0	0	0	0	0	0	
SLAMF7	0	0	0	0	0	0	0	0	0	-1.6136796	0	0	
SLC12A7	-2.037171	0	0	0	0	0	0	-2.1537054	0	0	0	0	
SLC16A3	0	-1.1315581	0	0	0	0	0	0	0	0	0	0	
SLC16A6	0	0	0	0	0	0	-2.790754	0	0	0	0	0	
SLC19A2	-0.31061256	0	0	0	0	0	0	0	0	0	0	0	
SLC22A18AS	0	0	0	0	0	-3.344447	0	0	0	0	0	0	
SLC25A24	0	0	3.4744751	0	0	0	0	0	0	0	0	0	
SLC25A37	18.543175	0	0	0	0	0	0	0	0	0	0	0	
SLC26A2	0	0	0	0	0	1.1537533	0	0	0	0	0	0	
SLC2A1	3.1825798	0	0	0	0	0	0	0	0	0	0	0	
SLC2A3	0	11.402282	0	0	0	0	11.434065	0	0	0	13.727486	0	
SLC2A3P1	0	0	0	0	0	-1.7791005	0	0	0	0	0	0	
SLC2A6	-1.8601799	0	0	0	0	0	0	0	0	0	0	0	
SLC30A1	0	0	0	0	0	-0.15172434	0	0	0	0	0.50811064	0	
SLC30A5	0	0	0	0	0	2.907254	0	0	0	0	0	0	
SLC35A3	0	0	0	0	0	0.27426058	0	0	0	0	0	0	
SLC35C1	0	0	0	0	0	0.9937273	0	0	0	0	0	0	
SLC39A14	3.0421314	0	0	0	0	0	0	0	0	0	0	0	
SLC39A6	0	0	0	0	0	7.879406	0	0	0	0	0	0	
SLC39A8	-1.0422934	0	0	0	0	0	0	0	0	0	0	0	
SLC4A7	0	0	0	0	0	6.360159	0	0	7.0531282	0	0	0	
SLC5A5	0	0	0	0	0	-3.1958716	0	0	0	0	0	0	
SLC7A2	-3.0155804	0	0	0	0	0	0	0	0	0	0	0	
SLC7A5	1.0550487	0	0	0	0	0	3.3724227	0	0	0	0	0	
SLCO4C1	0	0	0	0	0	-3.4222875	0	0	0	0	0	0	
SMAD3	0	0	0	0	0	0	0	3.5569105	0	0	0	0	
SMAD4	0	0	0	0	0	4.97653	0	0	0	0	0	0	
SMAD7	0	0	0	0	0	0	0.91995364	0	0	0	0	0	
SMARCA4	0	0	0	0	0	3.6265428	0	0	0	0	0	0	
SMC3	0	0	0	0	0	0	0	0	6.8697314	0	0	0	
SMC5	0	0	0	0	0	7.2021255	0	0	0	0	0	0	
SMCHD1	0	0	0	0	0	8.38357	0	0	0	0	0	0	
SMYD2	0	0	0	0	0	0.49217704	0	0	0	0	0	0	
SNAI2	0	0	0	0	0	0	10.60425	0	0	0	0	0	
SNHG8	0	0	0	0	0	13.789381	0	0	0	0	0	0	
SNRPA1	0	0	0	17.757372	0	0	0	5.568959	0	0	0	0	
SNRPD1	0	0	0	12.393547	0	0	0	0	0	0	0	0	
SNRPF	0	0	0	6.766438	0	0	0	0	0	0	0	0	
SNTB2	0	0	0	0	0	5.590944	0	0	0	0	0	0	
SNX16	0	0	0	0	0	-1.9663265	0	0	0	0	0	0	
SNX24	0	0	0	0	0	5.208596	0	0	0	0	0	0	
SOAT1	0	0	0	0	0	2.9571407	0	0	0	0	0	0	
SOCS1	0	-2.034175	0	0	0	0	0	0	0	-1.5479373	0	0	
SOCS3	-0.104576476	-0.18139873	0	0	0	0	0	0	0	-0.56048656	0	0	
SOCS5	0	0	0	0	0	0	0	0	0	0	3.156847	0	
SOD2	8.030573	0	0	0	0	0	0	8.2369585	0	5.980558	0	0	
SOX17	0	0	0	0	-1.3695983	0	0	0	0	0	0	0	
SOX9	0	0	0	0	0	1.6316043	1.6140428	0	2.4698043	0	0	0	
SP110	0	0	0	0	0	4.335306	0	0	0	0	0	0	
SPAG5	0	0	0	0	0	-1.3301139	0	0	0	0	0	0	
SPDEF	0	0	0	0	0	-3.4011507	0	0	0	0	0	0	
SPEN	0	0	0	0	0	0	3.9599693	0	0	0	0	0	
SPHK1	0	0	0	0	0	0	-0.841261	0	0	0	0	0	
SPRED2	0	0	-1.1617938	0	0	0	0	0	0	0	0	0	
SPRY2	0	0	0	0	0	7.3795424	0	0	0	0	9.716232	0	
SPSB1	-1.0702873	0	0	0	0	0	0	0	0	0	0	0	
SQSTM1	7.6941175	0	0	0	0	0	0	7.1201982	0	0	0	0	
SRC	0	0	0	0	0	-2.0594893	0	0	0	0	0	0	
SREBF1	0	0	0	0	0	-1.5876927	0	0	0	0	0	0	
SRF	0	0	0	0	0	0	0	0	1.8342118	0	0	0	
SRRM2	0	0	0	0	0	10.789442	0	0	0	0	0	0	
STARD4	0	0	0	0	0	0	0	0	0	8.141306	0	0	
STAT1	0	3.9444249	0	0	0	6.0057406	0	0	0	0	0	0	
STAT2	0	0	0	0	0	18.699316	0	0	0	0	0	0	
STAT4	0	0	0	0	0	0	0	0	0	-1.4639043	0	0	
STC1	0	0	0	0	0	-0.9399323	0	0	-1.1174239	0	0	0	
STC2	4.3994546	0	0	0	0	3.7627957	0	0	0	0	0	0	
STK38L	0	0	0	0	0	0	4.6840396	0	0	0	0	0	
STOML1	0	0	0	0	0	-3.1510355	0	0	0	0	0	0	
STRBP	0	0	0	0	0	-1.0975196	0	0	0	0	0	0	
STS	0	0	0	0	0	-2.0295215	0	0	0	0	0	0	
STT3B	0	0	0	0	0	8.694945	0	0	0	0	0	0	
STX6	0	0	0	0	0	0	0	0	0	0.013397231	0	0	
SUPT16H	0	0	0	0	0	12.522275	0	0	0	0	0	0	
SUV39H1	0	0	0	0	0	0	0	0	0	0	0	2.7781034	
SUV420H1	0	0	0	0	0	0	0	0	0	0	6.312402	0	
SYDE2	0	0	0	0	0	-1.3758497	0	0	0	0	0	0	
SYNJ2	0	0	0	0	0	6.016815	0	0	0	0	0	0	
TAF2	0	0	0	0	0	7.2043805	0	0	0	0	0	0	
TAGLN	0	0	0	0	0	13.641403	0	0	0	0	0	0	
TANK	0	0	0	0	0	17.352419	0	0	0	0	0	0	
TAP1	0.45168447	-0.539091	0	0	0	0	0	0	0	0	0	0	
TAP2	0	-0.810393	0	0	0	0	0	0	0	0	0	0	
TAX1BP1	0	0	0	0	0	10.241405	0	0	0	0	0	0	
TAX1BP3	0	0	0	0	0	13.8283	0	0	0	0	0	0	
TBX2	0	0	0	0	0	-3.07344	0	0	0	0	0	0	
TCF25	0	0	0	0	0	10.764951	0	0	0	0	0	0	
TCF3	0	0	0	0	0	0.67333865	0	0	0	0	0	0	
TCF7	0	0	0	0	0	-1.6122259	0	0	0	0	0	0	
TESK2	0	0	0	0	0	-2.831093	0	0	0	0	0	0	
TFDP1	0	0	0	0	0	0	0	0	0	0	0	14.378145	
TFDP2	0	0	0	0	0	0	0	0	0	0	0	6.8005543	
TFPI2	-0.49630547	0	0	0	0	-2.3699446	0	0	0	0	0	0	
TGIF1	0	0	0	0	0	0	11.1367655	0	0	0	0	0	
TGM2	0	0	0	0	0	-1.0138265	0	0	0	0	0	0	
THAP10	0	0	0	0	0	0	0	0	0	0	-1.5776564	0	
THBS1	-1.1709192	0	0	0	0	0	0	0	0	-9.432399	0	0	
THTPA	0	0	0	0	0	-1.6292789	0	0	0	0	0	0	
TIFA	-1.7371846	0	0	0	0	0	0	0	0	0	0	0	
TIMP3	0	0	0	0	0	9.808858	15.492279	0	0	0	0	0	
TIPARP	13.126163	0	0	0	0	0	0	0	15.204769	0	0	0	
TJP2	-0.5259374	0	0	0	0	0	0	0	0	0	0	0	
TLR1	0	0	0	0	0	0	0	0	0	-1.2627403	0	0	
TMED7	0	0	0	0	0	9.913759	0	0	0	0	0	0	
TMEFF1	0	0	0	0	0	0	0	0	0	0	-1.7693454	0	
TMEM171	-1.1989013	0	0	0	0	0	0	0	0	0	0	0	
TMEM38B	0	0	0	0	0	-0.14026192	0	0	0	0	0	0	
TMEM50A	0	0	0	0	0	14.873965	0	0	0	0	0	0	
TNC	0.2755619	0	0	0	0	0	0	0	0	0	0	0	
TNF	0	-2.0311725	0	0	0	0	0	-2.021301	0	-1.5327827	0	0	
TNFAIP3	-1.5773925	-1.3575383	0	-1.3149611	0	0	-1.2114197	-1.6251112	0	-1.685829	0	0	
TNFAIP6	15.115718	0	0	0	0	0	9.104435	15.264199	0	17.04656	0	0	
TNFAIP8	3.3997679	0	0	0	0	0	0	5.149853	0	5.8580046	0	0	
TNFRSF10B	6.139645	0	0	0	0	0	0	0	0	0	0	0	
TNFRSF11B	0	0	0	0	0	-0.6607747	0	0	0	0	0	0	
TNFRSF12A	0	0	0	0	0	0	9.481739	11.70576	11.939053	0	0	0	
TNFRSF21	0	0	0	0	0	-3.4970374	0	0	-2.8907244	0	0	0	
TNFRSF9	0	0	0	0	0	0	0	-1.9046073	0	-1.2853385	0	0	
TNFSF10	0	-1.7451754	0	0	0	-3.270434	0	0	0	0	0	0	
TNFSF15	-0.7737671	0	0	0	0	0	0	-1.1680526	0	0	0	0	
TNFSF9	-2.0702794	0	0	0	0	0	0	0	0	0	0	0	
TNIP1	-1.5684543	0	0	0	0	0	0	-2.845896	0	-4.475906	0	0	
TNK1	0	0	0	0	0	-3.4012165	0	0	0	0	0	0	
TNPO3	0	0	0	0	0	4.047103	0	0	0	0	0	0	
TNRC6B	0	0	0	0	0	6.0473285	0	0	0	0	0	0	
TOPBP1	0	0	0	0	0	0	0	0	0	0	0	9.976596	
TP53	0	0	6.7645316	0	0	0	0	0	0	0	0	2.5661337	
TP53INP2	-3.715594	0	0	0	0	0	0	0	0	0	0	0	
TPBG	0	0	0	-0.7709989	0	0	0	0	0	0	0	0	
TPM1	0	0	0	0	0	0	7.940776	0	0	0	0	0	
TRA2A	0	0	0	0	0	0	0	0	10.556723	0	0	0	
TRAF1	-1.7305226	0	0	0	0	0	0	-1.8285183	0	-1.2952164	0	0	
TRIB1	0	1.6776989	-0.416425	0	0.9339421	0	0	2.818151	0.9637682	0	-0.25451824	0	
TRIB2	5.5124807	0	0	0	0	0	0	0	0	0	0	0	
TRIM25	0	3.8998268	0	0	0	0	0	0	0	0	0	0	
TRIM47	-1.2798485	0	0	0	0	0	0	0	0	0	0	0	
TRIO	0	0	0	0	0	9.167626	0	0	0	0	0	0	
TRIP10	0	0	0	0	0	0	0	0	0	2.1457505	0	0	
TRMT2B	0	0	0	0	0	-1.02501	0	0	0	0	0	0	
TRRAP	0.09965587	0	0	0	0	0	0	0	0	0	0	0	
TSC22D1	19.766695	0	0	0	0	0	0	0	0	0	0	0	
TSC22D3	-1.4395752	0	0	0	0	0	0	0	0	0	0	0	
TSPAN13	0	0	0	0	0	-3.1769805	0	0	0	0	0	0	
TSPAN3	0	0	0	0	0	17.743006	0	0	0	0	0	0	
TUBB2A	-1.2094046	0	0	0	0	0	3.498569	0	0	0	0	0	
TWIST1	0	0	0	0	0	0	5.786256	0	0	0	0	0	
TYMP	-1.6052827	0	0	0	0	0	0	0	0	0	0	0	
TYSND1	0	0	0	0	0	-0.83182317	0	0	0	0	0	0	
U2AF2	0	0	0	0	0	0.33476895	0	0	0	0	0	0	
UBE2L6	0	0	0	0	0	7.5230274	0	0	0	0	0	0	
UBE2Z	0	0	0	0	0	5.6168847	0	0	0	0	0	0	
UBTD2	0.24684255	0	0	0	0	0	0	0	0	0	0	0	
UGCG	0	0	0	0	0	0	15.766263	0	0	0	14.977813	0	
UGGT1	0	0	0	0	0	4.2697144	0	0	0	0	0	0	
UGP2	1.0232626	0	0	0	0	0	0	0	0	0	0	0	
UPK2	0	0	0	0	0	-2.9220197	0	0	0	0	0	0	
UPK3B	0	0	0	0	0	-3.000806	0	0	0	0	0	0	
UPP1	0	0	0	0	0	0	0	9.939778	0	0	0	0	
UQCRB	0	0	20.841965	0	0	0	0	0	0	0	0	0	
USF2	0	0	0	0	0	-1.3990766	0	0	0	0	0	0	
USP12	-0.8517026	0	0	0	0	0	0	0	0	0	0	0	
USP18	0	0	0	0	0	-1.867244	0	0	0	0	0	0	
UXS1	0.047267485	0	0	0	0	0	0	0	0	0	0	0	
VAMP5	0	2.2553742	0	0	0	0	0	0	0	0	0	0	
VCAM1	10.565477	0	0	0	0	2.579209	0	10.693702	0	0	0	0	
VDR	0	0	0	0	0	0	2.2850826	0	0	0	0	0	
VEGFA	0	7.877441	4.7243657	0	0	0	4.8268194	8.814377	0	0	4.58296	0	
VGLL4	0	0	0	0	0	2.8603833	0	0	0	0	0	0	
VPS35	0	0	0	0	0	12.67355	0	0	0	0	0	0	
WAC	0	0	0	0	0	9.523673	0	0	0	0	0	0	
WARS	0	10.13741	0	0	0	0	0	0	0	0	0	0	
WASL	0	0	0	0	0	0	0	0	4.7776637	0	5.613798	0	
WDFY3	0	0	0	0	0	6.031868	0	0	0	0	0	0	
WDR1	0	0	0	0	0	0	0	0	9.274372	0	0	0	
WEE1	5.460551	0	0	0	0	0	0	0	7.925533	0	0	12.28344	
WTAP	10.368659	0	0	0	0	0	0	9.7100315	0	0	0	0	
XAF1	0	0	0	0	0	0	0	0	0	7.4693813	0	0	
XBP1	12.982545	0	0	0	0	0	0	0	0	0	0	0	
XIAP	0	0	3.3805208	0	0	5.071268	0	0	0	0	0	0	
YIPF4	0	0	0	0	0	1.5710864	0	0	0	0	0	0	
YRDC	0	0	0	0	0	0	0	0	0.5285405	1.8446476	0	0	
YTHDC2	0	0	0	0	0	0	0	0	0	0	5.102766	0	
ZBTB10	0	0	0	0	0	0	0	-0.1068099	0	-0.5352505	0	0	
ZC3H12A	-0.40468225	0	0	0	0	0	0	-0.8145712	0	-0.2916517	0	0	
ZC3H12C	-1.2742171	0	0	0	0	0	0	0	0	0	0	0	
ZC3HAV1	0	8.734812	0	0	0	0	0	0	0	6.4264016	0	0	
ZDHHC17	0	0	0	0	0	6.644999	0	0	0	0	0	0	
ZDHHC20	0	0	0	0	0	-0.6387392	0	0	0	0	0	0	
ZFP36	10.383645	10.959876	0	0	11.618881	0	6.7590404	10.05236	8.187766	0	0	0	
ZFP36L2	0	21.1698	0	0	0	0	0	0	0	0	0	0	
ZFX	0	0	0	0	0	14.034863	0	0	0	0	0	0	
ZMYND8	0	0	0	0	0	7.86772	0	0	0	0	0	0	
ZNF200	0	0.8020359	0	0	0	0	0	0	0	0	0	0	
ZNF217	0	0	0	0	0	3.7198052	0	0	0	0	0	0	
ZNF267	1.3118894	0	0	0	0	0	0	0	0	0	0	0	
ZNF296	0	0	0	0	0	-3.2954228	0	0	0	0	0	0	
ZNF367	0	0	0	0	0	-2.4857895	0	0	0	0	0	0	
ZNF395	3.5969062	0	0	0	0	0	0	0	0	0	0	0	
ZNF473	0	0	0	0	0	-1.3708781	0	0	0	0	0	0	
ZNF862	0	0	0	0	0	-2.258126	0	0	0	0	0	0	
ZSWIM1	0	0	0	0	0	0.41698644	0	0	0	0	0	0	
ZYX	0	0	0	0	0	0	0	0	15.682147	0	0	0	
